"tx","tx_name","protein","gid","name","corr","stat","padj","pval","gCorr","tx_type"
"ENST00000217026.5","MYBL2-201","ENSP00000217026.4","ENSG00000101057.16","MYBL2",0.706916426889643,33.7161002839656,1.44770196338198e-168,2.34936460521897e-173,0.720402241785528,"protein_coding"
"ENST00000356455.9","UBE2C-204","ENSP00000348838.4","ENSG00000175063.17","UBE2C",0.706188308924596,33.6467899681317,4.66445640882529e-168,7.57032607128993e-173,0.720445692244126,"protein_coding"
"ENST00000361170.7","IQGAP3-201","ENSP00000354451.2","ENSG00000183856.11","IQGAP3",0.701397970250422,33.1960418057333,9.40531482905123e-165,1.52671290139619e-169,0.705873270898382,"protein_coding"
"ENST00000300403.11","TPX2-201","ENSP00000300403.6","ENSG00000088325.16","TPX2",0.698833599728395,32.9584082239878,5.19165680111154e-163,8.42828793323085e-168,0.702631356974422,"protein_coding"
"ENST00000262293.9","PRR11-201","ENSP00000262293.5","ENSG00000068489.13","PRR11",0.696783685139049,32.7702369685445,1.24304762316844e-161,2.0181310243992e-166,0.697618819411257,"protein_coding"
"ENST00000587309.5","KIF18B-202","ENSP00000465377.1","ENSG00000186185.14","KIF18B",0.69086923119135,32.2359782877129,1.02086824049531e-157,1.65765728748122e-162,0.720455969167807,"protein_coding"
"ENST00000310955.11","CDC20-201","ENSP00000308450.5","ENSG00000117399.14","CDC20",0.686966113000976,31.8902254230069,3.47349397355026e-155,5.64171968157202e-160,0.699599963698886,"protein_coding"
"ENST00000350051.8","BIRC5-202","ENSP00000324180.4","ENSG00000089685.15","BIRC5",0.684363396103974,31.6625818432017,1.61030848106279e-153,2.61596322280617e-158,0.716203157256413,"protein_coding"
"ENST00000275517.8","CDCA5-201","ENSP00000275517.3","ENSG00000146670.10","CDCA5",0.682810126904656,31.527814718117,1.5594032238697e-152,2.53343171554546e-157,0.688319958938932,"protein_coding"
"ENST00000264233.6","POLQ-201","ENSP00000264233.5","ENSG00000051341.15","POLQ",0.680233830481138,31.3060474071682,6.53020575879249e-151,1.06108018114042e-155,0.680768148444448,"protein_coding"
